Date,Close,High,Low,Open,Volume
2000-01-03,712.8551025390625,713.6246886765966,684.4688126213871,704.2192662761166,0
2000-01-04,686.9876098632812,712.8550988178209,685.9481347836941,712.8550988178209,0
2000-01-05,678.2117919921875,689.7862082331221,662.5693979527424,685.6182421977297,0
2000-01-06,669.0062866210938,683.2893531082898,662.2995100408494,678.2117930370642,0
2000-01-07,690.4159545898438,690.4859280586512,662.1196476932058,669.0063303434251,0
2000-01-10,741.331298828125,747.9580972409842,690.4159325054154,690.4159325054154,0
2000-01-11,716.7432250976562,755.5144433709083,712.885045520992,741.3313035514961,0
2000-01-12,741.2313842773438,749.6772489429774,709.5266927587916,716.7432327958592,0
2000-01-13,748.6177368164062,751.7961914909173,732.4156158153631,741.3312845819207,0
2000-01-14,809.4783325195312,816.9247418135627,748.6177649940299,748.6177649940299,0
2000-01-18,802.9814453125,812.7766933425127,792.9063034217493,809.3683694310961,0
2000-01-19,805.0404663085938,809.858142555053,796.0048602438444,802.9814650170532,0
2000-01-20,812.177001953125,833.1168815349699,805.0404406245015,805.0404406245015,0
2000-01-21,803.7611083984375,817.1946107689107,801.7720195896252,812.256997491228,0
2000-01-24,788.6884155273438,828.169313450422,788.6684056774767,803.7611399679107,0
2000-01-25,815.1455688476562,815.3754990995292,776.3643453970492,788.6883994782643,0
2000-01-26,782.7811889648438,815.1455328920298,782.7811889648438,815.1455328920298,0
2000-01-27,778.2734375,804.2408529904345,764.9498673501715,782.7812050352954,0
2000-01-28,748.6477661132812,789.9577947701978,742.3607691018804,778.2734459637564,0
2000-01-31,777.6837158203125,777.6837158203125,738.4627026465522,748.8476925246829,0
2000-02-01,802.0419311523438,802.0519360771665,761.1417374712195,777.6837215585261,0
2000-02-02,825.550537109375,834.0164112663123,801.7720042252603,802.0418931601339,0
2000-02-03,870.0390625,870.0390625,825.5505780310755,825.5505780310755,0
2000-02-04,867.6002197265625,880.0041910460379,863.9319507215703,870.0390421116045,0
2000-02-07,902.5432739257812,902.5432739257812,866.3707739885257,867.6002206097274,0
2000-02-08,919.6250610351562,922.6136053088451,894.437235565902,902.5432989247273,0
2000-02-09,903.0830688476562,928.9105382202031,900.2344105307759,919.7050313054591,0
2000-02-10,942.6339111328125,943.0936496149695,898.6651351959146,903.2429372079341,0
2000-02-11,911.7488403320312,942.9337632888395,906.2414953703664,942.6339205788547,0
2000-02-14,925.2623291015625,933.3884021427166,901.3439094744379,911.7488481366211,0
2000-02-15,953.7684936523438,968.691265852003,904.0925784809207,925.2623280417386,0
2000-02-16,953.4586181640625,974.2585509379659,949.0407729848791,953.7684657918995,0
2000-02-17,978.3265991210938,980.5855158513339,945.6824217075629,960.6951159226056,0
2000-02-18,935.4873657226562,978.3266232464898,935.4873657226562,978.3266232464898,0
2000-02-22,989.4512329101562,998.157042455561,918.8054231937542,935.4873538505734,0
2000-02-23,1007.0027465820312,1024.5543127568317,982.6545422390631,989.4512414128692,0
2000-02-24,1063.185546875,1063.5354752243525,1003.1146355807825,1007.0027690217913,0
2000-02-25,1031.5208740234375,1074.669916388187,1029.8816525824273,1063.1854833880727,0
2000-02-28,1065.914306640625,1069.2226424120404,991.9000699087615,1031.5209138470798,0
2000-02-29,1169.8939208984375,1173.612214617205,1065.9143230329087,1065.9143230329087,0
2000-03-01,1171.6131591796875,1190.0942072090543,1153.531820091657,1169.893898284581,0
