Date,Close,High,Low,Open,Volume
2001-01-04,13691.490234375,13990.5703125,13667.6796875,13898.08984375,0
2001-01-05,13867.6103515625,13947.0595703125,13725.4599609375,13763.2197265625,0
2001-01-09,13610.509765625,13732.849609375,13460.8203125,13732.849609375,0
2001-01-10,13432.650390625,13593.16015625,13349.150390625,13593.16015625,0
2001-01-11,13201.0703125,13436.6103515625,13123.8095703125,13433.08984375,0
2001-01-12,13347.740234375,13451.9501953125,13246.2001953125,13246.2001953125,0
2001-01-15,13506.23046875,13573.5498046875,13441.51953125,13450.2802734375,0
2001-01-16,13584.4501953125,13598.2001953125,13442.08984375,13561.73046875,0
2001-01-17,13667.6298828125,13688.900390625,13476.5498046875,13593.830078125,0
2001-01-18,13873.919921875,13931.91015625,13723.2099609375,13734.7900390625,0
2001-01-19,13989.1201171875,14186.6201171875,13947.919921875,13956.33984375,0
2001-01-22,14032.419921875,14039.400390625,13841.0302734375,14010.0703125,0
2001-01-23,13984.66015625,14060.23046875,13913.099609375,13966.6396484375,0
2001-01-24,13893.580078125,14034.1103515625,13857.830078125,14020.6103515625,0
2001-01-25,13803.3798828125,13879.830078125,13730.169921875,13879.830078125,0
2001-01-26,13696.0595703125,13750.23046875,13626.0498046875,13726.98046875,0
2001-01-29,13845.2802734375,13908.400390625,13721.8603515625,13724.259765625,0
2001-01-30,13826.650390625,13910.7099609375,13713.5498046875,13885.26953125,0
2001-01-31,13843.5498046875,13855.740234375,13726.509765625,13855.740234375,0
2001-02-01,13779.5498046875,13779.5498046875,13667.9296875,13740.919921875,0
2001-02-02,13703.6298828125,13862.2900390625,13703.6298828125,13764.6904296875,0
2001-02-05,13385.51953125,13588.6396484375,13367.91015625,13588.6396484375,0
2001-02-06,13269.849609375,13379.4404296875,13240.3701171875,13316.25,0
2001-02-07,13366.009765625,13373.7802734375,13268.6103515625,13273.9296875,0
2001-02-08,13138.23046875,13336.33984375,12966.830078125,13336.33984375,0
2001-02-09,13422.830078125,13460.3896484375,13135.01953125,13140.6103515625,0
2001-02-13,13274.7001953125,13461.1103515625,13247.9501953125,13431.7197265625,0
2001-02-14,13284.0595703125,13405.51953125,13119.33984375,13179.26953125,0
2001-02-15,13327.3896484375,13416.5498046875,13273.669921875,13273.91015625,0
2001-02-16,13175.490234375,13349.080078125,13166.4599609375,13348.7197265625,0
2001-02-19,13119.58984375,13137.099609375,12950.740234375,13060.2001953125,0
2001-02-20,13248.3603515625,13248.3603515625,13073.240234375,13092.3603515625,0
2001-02-21,13100.080078125,13185.23046875,13084.5498046875,13181.5,0
2001-02-22,13073.3603515625,13125.33984375,12861.330078125,13041.7197265625,0
2001-02-23,13246.0,13272.8095703125,13048.5400390625,13054.4599609375,0
2001-02-26,13201.1396484375,13315.8603515625,13170.990234375,13255.2900390625,0
2001-02-27,13059.8603515625,13262.2197265625,13041.330078125,13232.8603515625,0
2001-02-28,12883.5400390625,13040.3095703125,12784.169921875,12987.5,0
2001-03-01,12681.66015625,12844.349609375,12528.5,12811.51953125,0
2001-03-02,12261.7998046875,12594.4599609375,12261.7998046875,12594.4599609375,0
2001-03-05,12322.16015625,12389.08984375,12133.900390625,12285.4599609375,0
2001-03-06,12687.740234375,12687.740234375,12351.1396484375,12402.8896484375,0
2001-03-07,12723.8896484375,12824.1904296875,12539.75,12748.5595703125,0
2001-03-08,12650.5595703125,12756.9697265625,12584.099609375,12694.2197265625,0
2001-03-09,12627.900390625,12667.2099609375,12500.509765625,12549.1904296875,0
2001-03-12,12171.3701171875,12509.669921875,12171.3701171875,12509.669921875,0
2001-03-13,11819.7001953125,12044.7802734375,11710.330078125,12044.7802734375,0
2001-03-14,11843.58984375,12004.3798828125,11793.26953125,11912.6103515625,0
2001-03-15,12152.830078125,12152.830078125,11433.8798828125,11685.6396484375,0
2001-03-16,12232.98046875,12374.4501953125,12071.490234375,12169.650390625,0
2001-03-19,12190.9697265625,12544.6796875,12143.669921875,12183.98046875,0
2001-03-21,13103.9404296875,13103.9404296875,12100.9697265625,12184.3203125,0
2001-03-22,12853.9697265625,13237.330078125,12853.9697265625,12982.5302734375,0
2001-03-23,13214.5400390625,13242.7197265625,12866.01953125,12866.01953125,0
2001-03-26,13862.3095703125,13862.3095703125,13296.98046875,13309.7197265625,0
2001-03-27,13638.330078125,13829.4697265625,13536.5302734375,13766.900390625,0
2001-03-28,13765.509765625,13867.580078125,13567.7099609375,13726.48046875,0
2001-03-29,13072.3603515625,13620.0703125,13072.3603515625,13620.0703125,0
2001-03-30,12999.7001953125,13457.900390625,12992.4501953125,13203.0,0
2001-04-02,12937.8603515625,13089.4697265625,12781.33984375,13057.650390625,0
2001-04-03,13124.4697265625,13357.9599609375,12970.669921875,12970.669921875,0
2001-04-04,13242.7802734375,13242.7802734375,12874.759765625,13043.1796875,0
2001-04-05,13381.3798828125,13555.4599609375,13323.16015625,13344.2001953125,0
2001-04-06,13383.759765625,13674.580078125,13284.7900390625,13517.7001953125,0
2001-04-09,12841.759765625,13304.3603515625,12841.759765625,13304.3603515625,0
2001-04-10,12620.26953125,12893.849609375,12579.5595703125,12847.8896484375,0
2001-04-11,13174.9296875,13208.650390625,12724.4697265625,12784.6396484375,0
2001-04-12,13352.4404296875,13452.599609375,13126.2099609375,13205.0595703125,0
2001-04-13,13385.7197265625,13578.6396484375,13291.2001953125,13454.8701171875,0
2001-04-16,13254.8896484375,13451.01953125,13217.6396484375,13338.919921875,0
2001-04-17,13067.08984375,13203.6103515625,13019.599609375,13179.330078125,0
2001-04-18,13641.7900390625,13705.8603515625,13170.08984375,13170.08984375,0
